"id","site","gender","age_months_t1","age_group_t1","age_months_t2","age_group_t2","cpa_1_t1","cpa_2_t1","cpa_3_rs_t1","cpa_4_t1","cpa_5_rs_t1","cpa_6_t1","cpa_7_t1","cpa_8_t1","cpa_9_t1","cpa_10_t1","cpa_11_rs_t1","cpa_12_t1","cpa_1_v2_t2","cpa_2_t2","cpa_3_rs_t2","cpa_4_t2","cpa_5_v2_t2","cpa_6_t2","cpa_7_t2","cpa_8_t2","cpa_9_t2","cpa_10_t2","cpa_11_rs_t2","cpa_12_t2","language"
"CA_pr1_082_4_g",1,1,48,"4",61,"5",4,2,4,NA,4,NA,2,NA,3,2,2,NA,3,NA,4,2,3,3,4,3,4,3,4,2,"1"
"CA_pr1_083_5_g",1,1,70,"6",84,"7",3,3,2,4,3,3,1,4,1,4,2,4,4,2,2,4,4,3,4,4,3,2,4,1,"1"
"CA_pr1_084_4_b",1,0,48,"4",64,"5",2,1,3,3,1,1,1,2,1,2,2,1,2,3,2,3,2,2,1,2,3,2,1,3,"1"
"CA_pr1_085_6_b",1,0,77,"6",91,"7",4,3,3,3,1,4,2,2,1,2,3,3,3,2,2,3,3,3,1,3,2,2,3,NA,"1"
"CA_pr1_086_7_g",1,1,88,"6",NA,NA,4,2,4,3,4,4,4,3,4,3,2,2,4,2,4,4,4,3,4,4,4,2,4,3,"1"
"CA_pr1_089_3_g",1,1,47,"4",61,"5",4,3,2,3,2,1,2,3,2,4,2,2,3,2,2,4,2,2,1,2,2,3,2,3,"1"
"CA_pr1_091_6_g",1,1,82,"6",95,"7",3,3,2,3,4,3,1,4,4,2,3,3,3,4,2,4,3,3,4,4,4,3,4,3,"1"
"CA_pr1_092_7_g",1,1,88,"6",101,"7",4,2,2,3,4,3,2,2,3,2,3,1,3,3,3,3,3,3,3,3,3,3,4,3,"1"
"CA_pr1_093_4_b",1,0,58,"5",71,"6",2,NA,4,NA,2,1,1,3,4,NA,2,NA,2,2,4,2,2,2,3,4,3,2,NA,NA,"1"
"CA_pr1_094_5_g",1,1,66,"6",79,"7",4,1,2,2,2,2,2,3,2,3,3,1,2,1,3,1,3,2,1,3,2,2,4,1,"1"
"CA_pr1_099_4_g",1,1,51,"4",64,"5",3,2,3,3,4,4,1,4,2,2,3,1,2,4,2,4,3,3,3,4,3,4,3,1,"1"
"CA_pr1_103_4_b",1,0,55,"5",68,"6",4,3,2,3,2,2,3,2,4,1,4,1,2,2,3,3,4,2,2,3,2,2,4,2,"1"
"CA_pr1_104_4_g",1,1,54,"5",68,"6",3,3,3,4,3,4,2,4,3,3,4,1,3,3,2,3,2,3,2,4,3,2,3,2,"1"
