"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"73","CPA_4_t2","|","t1","a4",-2.74687550930324,0.221255889439789,-12.4149260670901,0,-3.1805290839726,-2.31322193463387,-2.74687550930324,-1.70264373337548
"74","CPA_4_t2","|","t2","a4_2",-0.873540942173107,0.118901356636729,-7.34677018734088,0.000000000000202948768901479,-1.10658331889405,-0.640498565452165,-0.873540942173107,-0.541462110678333
"75","CPA_4_t2","|","t3","",0.879421291358516,0.294748182482599,2.98363601075109,0.00284845405215384,0.301725469183983,1.45711711353305,0.879421291358516,0.545107030026402
"76","CPA_5_RS","|","t1","a5",-1.48031987105482,0.0932314512086454,-15.8779022729355,0,-1.66305015765017,-1.29758958445947,-1.48031987105482,-1.33276463580376
"77","CPA_5_RS","|","t2","",-0.660326439772302,0.0708369649276153,-9.32177769681488,0,-0.799164339804555,-0.521488539740049,-0.660326439772302,-0.594506460544658
"78","CPA_5_RS","|","t3","",0.26268567036404,0.0655233461892003,4.00903930647144,0.0000609662690025381,0.134262271686657,0.391109069041422,0.26268567036404,0.236501703881154
"79","CPA_5_V2","|","t1","a5",-1.48031987105482,0.0932314512086455,-15.8779022729354,0,-1.66305015765017,-1.29758958445947,-1.48031987105482,-1.80064483625047
"80","CPA_5_V2","|","t2","",-0.253425594876734,0.0586843391163543,-4.31845358902763,0.0000157126253736983,-0.368444786001324,-0.138406403752145,-0.253425594876734,-0.308264110825812
"81","CPA_5_V2","|","t3","",0.735191980764651,0.107965338573788,6.80951859621305,0.00000000000979261116640373,0.523583805581352,0.946800155947949,0.735191980764651,0.894279452503274
"82","CPA_6_t1","|","t1","a6",-1.66551219620051,0.528343437556089,-3.15232872751202,0.00161973812049387,-2.70104630527854,-0.629978087122492,-1.66551219620051,-0.939933329402672
"83","CPA_6_t1","|","t2","a6_2",0.348782917016662,0.152305565342309,2.29002082906667,0.0220201092307626,0.0502694943007245,0.647296339732599,0.348782917016662,0.196835957838149
"84","CPA_6_t1","|","t3","",1.92656558721112,0.614365674167306,3.1358613741276,0.00171350177584251,0.722430992505528,3.13070018191671,1.92656558721112,1.08725904909672
"85","CPA_6_t2","|","t1","a6",-1.66551219620051,0.528343437556092,-3.152328727512,0.00161973812049387,-2.70104630527854,-0.629978087122486,-1.66551219620051,-1.04799821747261
"86","CPA_6_t2","|","t2","a6_2",0.348782917016662,0.152305565342309,2.29002082906666,0.0220201092307628,0.0502694943007237,0.6472963397326,0.348782917016662,0.219466345639629
"87","CPA_6_t2","|","t3","",2.05449763965589,0.704987152852055,2.91423415496911,0.00356562352200651,0.672748210502424,3.43624706880935,2.05449763965589,1.29276139140433
"88","CPA_7_t1","|","t1","a7",-1.13377127813116,0.111270759980329,-10.1893011095781,0,-1.35185796022501,-0.915684596037317,-1.13377127813116,-0.788925777083321
"89","CPA_7_t1","|","t2","a7_2",0.46738239275362,0.0903042306664813,5.17564226287242,0.000000227128286178768,0.290389352995719,0.644375432511521,0.46738239275362,0.325224341549737
"90","CPA_7_t1","|","t3","",1.69049476021422,0.136821292898007,12.3554947070585,0,1.42232995381592,1.95865956661252,1.69049476021422,1.17631740905946
"91","CPA_7_t2","|","t1","a7",-1.13377127813116,0.111270759980329,-10.1893011095781,0,-1.35185796022501,-0.915684596037317,-1.13377127813116,-0.677688935708733
"92","CPA_7_t2","|","t2","a7_2",0.46738239275362,0.0903042306664815,5.17564226287241,0.000000227128286178768,0.290389352995719,0.644375432511522,0.46738239275362,0.27936840738839
"93","CPA_7_t2","|","t3","",1.96916008838678,0.257696431129906,7.64139448789694,0.000000000000021538326677728,1.46408436442766,2.4742358123459,1.96916008838678,1.17702576373131
"94","CPA_9_t1","|","t1","a9",-3.03756628522188,0.447105054847855,-6.7938535972391,0.0000000000109177111795589,-3.91387609002949,-2.16125648041428,-3.03756628522188,-1.56033066949223
"95","CPA_9_t1","|","t2","",-1.16529165470654,0.20560381433819,-5.66765581882542,0.0000000144764387144392,-1.56826772589345,-0.76231558351963,-1.16529165470654,-0.598584569689201
"96","CPA_9_t1","|","t3","",0.8937746144806,0.170204096798706,5.2511933102153,0.000000151116981150778,0.560180714733968,1.22736851422723,0.8937746144806,0.459112266742125
